Vagueness	TimePressure	V3scld	acc	varbid3scld	Ntrial
Vague	High	0	67.4293405114401	6.4608504295043e-06	743
Vague	High	0.0186567164179104	66.6666666666667	0	15
Vague	High	0.0192307692307692	69.2307692307692	0.0011094674556213	13
Vague	High	0.023972602739726	93.3333333333333	9.7735660223932e-05	15
Vague	High	0.0256410256410256	63.6363636363636	0.0019723865877712	11
Vague	High	0.025974025974026	93.3333333333333	5.62208354416147e-05	15
Vague	High	0.0357142857142857	36.3636363636364	0.00265731292517007	11
Vague	High	0.0388349514563107	86.6666666666667	3.14198636377918e-05	15
Vague	High	0.0410958904109589	85.7142857142857	1.56377056358291e-05	14
Vague	High	0.0429184549356223	42.8571428571429	3.28927459653758e-06	28
Vague	High	0.0445205479452055	78.5714285714286	0	14
Vague	High	0.0447761194029851	53.8461538461538	0	13
Vague	High	0.0471698113207547	73.3333333333333	9.88884933349157e-06	15
Vague	High	0.0476190476190476	78.5714285714286	0.00154256714023478	14
Vague	High	0.05249343832021	80	2.29630088889808e-06	10
Vague	High	0.0526315789473684	66.6666666666667	0.00831024930747922	15
Vague	High	0.0553191489361702	75	0.00016900558322016	12
Vague	High	0.0588235294117647	20	0.0103806228373702	15
Vague	High	0.059748427672956	73.3333333333333	0	15
Vague	High	0.0634328358208955	46.1538461538462	0.000464097423331106	13
Vague	High	0.0649350649350649	86.6666666666667	1.40552088604037e-05	15
Vague	High	0.0680272108843537	71.4285714285714	0	28
Vague	High	0.0688524590163934	53.3333333333333	0.000390576010033145	15
Vague	High	0.0714285714285714	48	0.0167091836734694	25
Vague	High	0.0731707317073171	60	0.000418622072399586	15
Vague	High	0.0739299610894942	71.4285714285714	0.000762060490443963	14
Vague	High	0.0744186046511628	80	0.000353344149990986	15
Vague	High	0.0748299319727891	71.4285714285714	0.00325481666589538	14
Vague	High	0.0761904761904762	73.3333333333333	0.000566893424036281	15
Vague	High	0.0814332247557003	61.5384615384615	0.00064722172118537	13
Vague	High	0.0819672131147541	35.7142857142857	6.71862402579952e-05	14
Vague	High	0.0884955752212389	58.3333333333333	1.30524447228966e-05	24
Vague	High	0.0897435897435897	80	0.00169844400613631	10
Vague	High	0.0909090909090909	42.8571428571429	5.0044324973548e-05	14
Vague	High	0.0930232558139535	92.8571428571429	0.00011537768162971	14
Vague	High	0.0974025974025974	80	0.00127902400629673	15
Vague	High	0.0975609756097561	60	0.00220327406526098	15
Vague	High	0.0993150684931507	80	0.00429645962344405	15
Vague	High	0.103174603174603	73.3333333333333	0.00143298059964727	15
Vague	High	0.104477611940299	93.3333333333333	0.00363852379891587	15
Vague	High	0.107296137339056	50	0.000460498443515261	12
Vague	High	0.111111111111111	61.5384615384615	0.00540123456790124	13
Vague	High	0.112676056338028	50	0.000115717780863585	14
Vague	High	0.112860892388451	69.2307692307692	0.000558001116002232	13
Vague	High	0.113636363636364	82.7586206896552	0.0187019093758906	29
Vague	High	0.117117117117117	80	0.00536178069961854	15
Vague	High	0.124444444444444	57.1428571428571	0.00336460905349794	14
Vague	High	0.124513618677043	76.9230769230769	0.00129197010300434	13
Vague	High	0.12621359223301	86.6666666666667	0.000282778772740126	15
